Número,Texto,Bloco,Resposta Correta,Arquivo Prova
1,"Você atende na Unidade de Saúde da Família um homem de 45 anos, solteiro, motorista de caminhão, que veio ao consultório para exame de rotina. Ele relata que não faz exercícios físicos por causa de seus horários irregulares e que sua dieta inclui principalmente carnes vermelhas, ovos e frituras, uma vez que costuma comer frequentemente em restaurantes à beira da estrada. Nega tabagismo. Nega dor torácica, cefaleia, tontura ou outros sintomas. Não possui histórico de doença cardiovascular. O pai faleceu recentemente por AVE aos 77 anos. Pesa 110kg, tem 1,70m de estatura e circunferência abdominal de 103cm. Ao avaliá-lo, você constata PA = 140/90 mmHg e FC = 98 bpm. Sem outras alterações ao exame físico. Ele retorna com o mesmo nível pressórico e os testes laboratoriais solicitados mostram colesterol total = 220 mg/dL; HDL-c = 50 mg/dL; triglicérides = 150 mg/dL; glicemia de jejum = 80 mg/dL e creatinina = 0,8. O ASCVD Risk foi de 2,8%. Em relação ao quadro e perfil lipídico desse paciente, qual é a proposta terapêutica mais adequada até posterior reavaliação clínica?  (A) Fazer sinvastatina em monoterapia. (B) Prescrever fibrato isoladamente. (C) Iniciar sinvastatina em associação com ezetimiba. (D) Orientar dieta e atividade física.",,D,prova_consorcio_interinstitucional_nordeste_teste_do_progresso_2021.pdf
2,"Estudante de medicina no plantão de neonatologia assistiu o nascimento de uma criança com hérnia diafragmática. Após os cuidados com o recém-nascido, o preceptor explicou que a hérnia diafragmática congênita ocorre por um defeito na fusão das pregas pleuroperitoneais com o septo transverso e o mesentério do esôfago, que separam a cavidade torácica da cavidade abdominal. Considerando a explicação acima, em qual fase da embriogênese ocorre a fusão da prega pleuroperitoneal e a formação do diafragma?  (A) Período de implantação do oócito (primeira semana) (B) Fase germinativa bilaminar (segunda semana) (C) Fase germinativa trilaminar (terceira semana) (D) Período embrionário (terceira a oitava semana)",,D,prova_consorcio_interinstitucional_nordeste_teste_do_progresso_2021.pdf
3,"Mulher, 39 anos, descobre um câncer de mama à direita. Refere avô materno que faleceu de câncer de próstata metastático aos 87 anos, mas nega qualquer outro caso de câncer na família. Por orientação do mastologista, procurou o geneticista, que indicou o estudo genético para investigação de câncer de mama e de câncer de ovário hereditários. Qual a justificativa para a realização do estudo genético?  (A) Idade precoce com possibilidade de encontrar mutação em gene supressor tumoral. (B) Possibilidade de predisposição mendeliana dominante ao câncer de mama. (C) Parente com câncer e risco aumentado de detectar um oncogene para câncer de mama. (D) Baixa possibilidade de fatores ambientais estarem envolvidos na mutação dos genes.",,A,prova_consorcio_interinstitucional_nordeste_teste_do_progresso_2021.pdf
4,"Paciente, 45 anos, sexo feminino, procura ambulatório para consulta ginecológica de rotina. Durante interrogatório sintomatológico refere que tem “prisão de ventre” há anos. Você está escrevendo no prontuário quando seu preceptor lhe pergunta uma explicação fisiológica para diminuição da motilidade intestinal. Qual das alternativas abaixo promove esta diminuição?  (A) Estimulação dos nervos parassimpáticos (B) Acetilcolina (C) Norepinefrina (D) Estiramento da musculatura",,C,prova_consorcio_interinstitucional_nordeste_teste_do_progresso_2021.pdf
5,"Homem de 32 anos é atendido na Unidade de Saúde da Família com queixa de febre e mialgia há 4 dias. Trazia hemograma, realizado em uma urgência na qual havia sido atendido no dia anterior. O exame apresentava o seguinte resultado:  Hemograma   Eritrócitos 4,7x106/mm3  Hemoglobina 14 g/dL  Hematócrito 42,1%  Plaquetas 232.000/mm3  Leucócitos totais 13.000/mm3  Neutrófilos 84,5% 10.985/mm3 Eosinófilos 1,5% 195/mm3 Basófilos 0,5% 65/mm3 Monócitos 1% 130/mm3 Linfócitos típicos 12,5% 1.625/mm3  No hemograma acima, observa-se aumento das células que tem como principal função:  (A) Hemostasia (B) Fagocitose (C) Transporte de oxigênio (D) Coagulação",,B,prova_consorcio_interinstitucional_nordeste_teste_do_progresso_2021.pdf
6,"O tabagismo durante a gestação traz diversas consequências adversas para a mãe e para o concepto, como baixo peso ao nascer e gravidez ectópica. Qual das alterações abaixo podem ser decorrentes do efeito teratógeno da fumaça do cigarro?  (A) Anencefalia (B) Ponte nasal afundada (C) Malformações ósseas (D) Onfalocele",,A,prova_consorcio_interinstitucional_nordeste_teste_do_progresso_2021.pdf
7,"Homem, 67 anos, com insuficiência cardíaca, apresentando dispneia e edema de MMII, necessita de um diurético para redução dos sintomas. Os diuréticos realizam seus efeitos através da inibição de enzimas, interferências em transporte de íons, antagonismo hormonal ou osmose. A partir desses alvos farmacológicos, marque a alternativa correta sobre o mecanismo e a ação dos diuréticos na insuficiência cardíaca:  (A) A acetazolamida, diurético poupador de potássio, é indicada na insuficiência cardíaca congestiva. (B) A amilorida, por ser um diurético poupador de potássio, não deve ser utilizada em associação com hidroclorotiazida na insuficiência cardíaca. (C) A hidroclorotiazida inibe a anidrase carbônica, sendo, portanto, utilizada no tratamento de insuficiência cardíaca e tratamento do glaucoma. (D) A furosemida apresenta seu mecanismo inibindo o cotransporte localizado na alça de Henle, o que faz esse diurético possuir utilização importante na insuficiência cardíaca.",,D,prova_consorcio_interinstitucional_nordeste_teste_do_progresso_2021.pdf
8,"Criança, sexo feminino, 8 anos, apresenta obstrução nasal, dor de cabeça, febre alta (39ºC), as secreções amareladas e escuras. Após exame clínico, foi prescrito amoxicilina associada a clavulanato de potássio 30 mg/kg a cada 8 horas, durante 10 dias. Sobre a escolha antibacteriana, marque a alternativa correta:  (A) A amoxicilina é inibidora da síntese proteica e tem atividade farmacológica eficaz em infecções por Pseudomonas aeruginosa, comumente encontradas em otite média. (B) Essa associação cobre infecções por bactérias produtoras de betalactamases, comumente encontradas em sinusite. (C) A associação da amoxicilina com clavulanato ocorre para diminuir os eventos adversos da terapia farmacológica. (D) A amoxicilina inibe a síntese proteica, quando associada ao clavulanato é contraindicada em crianças menores de 12 anos.",,B,prova_consorcio_interinstitucional_nordeste_teste_do_progresso_2021.pdf
9,"Pneumotórax é a presença de ar entre as duas camadas da pleura (membrana fina, transparente, de duas camadas, que reveste os pulmões e o interior da parede torácica), resultando em colapso parcial ou total do pulmão. Pode se manifestar a partir de Doença Pulmonar Obstrutiva Crônica (DPOC), fibrose cística, asma ou traumas diretos. Qual das alternativas abaixo justifica o colapso pulmonar apresentado em indivíduos acometidos com pneumotórax?  (A) Elevação da pressão pleural a níveis equivalentes da pressão alveolar. (B) Obstrução das vias aéreas inferiores. (C) Redução da complacência pulmonar. (D) Diminuição da pressão pleural a níveis abaixo da pressão alveolar.",,A,prova_consorcio_interinstitucional_nordeste_teste_do_progresso_2021.pdf
10,"JP, de quinze anos, é atendido na UPA com crise moderada de asma, obtendo rápida melhora. Durante a anamnese, relatou que as crises ocorrem com frequência e são agravadas com exposição à poeira, pelos de animais e mofo. Hemograma realizado anteriormente mostrou eosinofilia. Analise as questões abaixo e assinale a alternativa correta:  (A) O paciente apresenta asma brônquica, caracterizada imunologicamente como reação de hipersensibilidade tipo II, na qual o contato Ag-Ac desencadeia as manifestações clínicas. (B) Trata-se de uma doença alérgica, na qual a resposta imune é desencadeada a partir de uma resposta de células Th1, com produção de interleucinas inflamatórias e produção de IgE. (C) A resposta imune nos indivíduos alérgicos é do tipo Th2, que é a responsável pela indução da secreção de interleucinas produtoras de IgE e pela eosinofilia observada nestes pacientes. (D) É uma doença não inflamatória induzida principalmente por uma reação de hipersensibilidade tipo 3, com envolvimento de linfócitos Th1, macrófagos, basófilos e eosinófilos, e aumento do nível sérico de IgG.",,C,prova_consorcio_interinstitucional_nordeste_teste_do_progresso_2021.pdf
